,mean,normalized_mean,std,cov_%
T_cpu_percent_avg,64.572,16.143,1.2952137165072684,2.01
T_iowait_percent_avg,9.662999999999998,2.4157499999999996,0.7435848084428156,7.7
T_mem_used_avg,1605501136.896,401375284.224,29979826.392848555,1.87
T_mem_available_avg,6001184559.104,1500296139.776,29979826.39284858,0.5
T_mem_available_delta,1064266465.28,266066616.32,34664278.83985531,3.26
T_mem_available_pct_change,18.60751103042555,4.651877757606387,0.6820015991357221,3.67
T_swap_used_avg,516210688.0,129052672.0,0.0,0.0
T_cache_mem_avg,887668527.104,221917131.776,2528575.036602433,0.28
T_cache_mem_delta,56664064.0,14166016.0,3186126.660385962,5.62
T_cache_mem_pct_change,6.647735461122471,1.6619338652806177,0.3809695317736814,5.73
T_buffers_mem_avg,394417319.9360001,98604329.98400003,36773406.34338462,9.32
T_buffers_mem_delta,2117468.16,529367.04,597162.2729360055,28.2
T_buffers_mem_pct_change,0.5553936284105874,0.13884840710264684,0.2012299936133265,36.23
T_io_write_total_delta,157983703.04,39495925.76,8426891.359237805,5.33
T_io_write_total_pct_change,0.1407419399844383,0.03518548499610957,0.0077988335891541,5.54
Average_TAT,4.97262568400019,1.2431564210000474,0.1757537535799316,3.53
CV_Fairness,1.9949187312088423,0.4987296828022106,0.2831262880153215,14.19
