,mean,std,cov_%
T_cpu_percent_avg,23.542417460317456,3.156927625925233,13.41
T_iowait_percent_avg,0.003,0.0212132034355964,707.11
T_mem_used_avg,1125774987.231492,87315650.11561319,7.76
T_mem_available_avg,2960157044.7685084,87315650.11561318,2.95
T_mem_available_delta,-34784460.8,43203780.484007046,-124.2
T_mem_available_pct_change,-1.049485600435292,1.2634612754415733,-120.39
T_swap_used_avg,0.0,0.0,
T_cache_mem_avg,830523713.568508,1212069.556970151,0.15
T_cache_mem_delta,25113804.8,284255.69089300785,1.13
T_cache_mem_pct_change,3.101155973343203,0.0362190023976265,1.17
T_buffers_mem_avg,85000940.56025396,12235026.334103024,14.39
T_buffers_mem_delta,891371.52,664454.327963294,74.54
T_buffers_mem_pct_change,1.2200589690622072,1.1637482369554626,95.38
T_io_write_total_delta,32392069.12,462545.9277672509,1.43
T_io_write_total_pct_change,3.6203304400314584,2.0290896901991684,56.05
Average_TAT,0.52514761237438,0.0675085637015679,12.86
CV_Fairness,0.8440932915136332,0.0867631544239327,10.28
